id,user_id,map_name,map_number,duration_seconds,consumptions,max_health_end,damage_received,death_type,decision,completed,played_at
1e9d10f3-b32f-415c-ac41-22078acd7c3f,8ecfe4f1-d635-42f7-828b-db475a898c4d,Habitación,2,484,4,25,80,enemigos,,True,2025-11-01 23:07:00+00:00
9f8c0384-fc54-4d55-8bd3-927139fcae6a,2f59f2e4-b5dc-4ea8-9c35-c09b0ef7fe64,Habitación,2,552,5,0,29,sobredosis,,True,2026-07-05 16:49:00+00:00
2f866124-bc79-4fef-b74d-737c0f90b7f0,a5049d09-4999-4577-bc1d-b67d725fe1bc,Habitación,2,473,4,7,39,sobredosis,,True,2026-03-08 11:02:00+00:00
b9a1dc2c-ac66-4f8e-8959-8cab28defb9d,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 1 - Neón City,1,199,2,0,243,sobredosis,,True,2026-08-17 16:48:00+00:00
8028cdf0-8b59-4774-bf78-0de3e75b040f,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 1 - Neón City,1,174,0,10,117,abstinencia,,True,2026-08-17 16:50:00+00:00
4bd78382-43fe-4802-a8b7-0870494c5c42,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 2 - Subterráneo,2,260,2,0,190,colapso,,True,2026-08-17 16:59:00+00:00
072b202a-3e13-4525-8c75-57d766e8b12c,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 2 - Subterráneo,2,230,0,49,48,,ignorar,True,2026-08-17 17:06:00+00:00
59d18d7f-6e18-4ead-950c-0febf49bf037,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 3 - Abismo,3,253,4,0,172,abstinencia,,True,2026-08-17 17:11:00+00:00
a981e78e-1698-4ead-88eb-ccb0711ace17,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 3 - Abismo,3,223,3,0,155,enemigos,,True,2026-08-17 17:15:00+00:00
812eea3e-0704-485e-bb9a-a0fc86ec721e,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 3 - Abismo,3,205,5,0,160,enemigos,,True,2026-08-17 17:18:00+00:00
e5df22e5-a781-464f-92be-e23f9753709c,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 3 - Abismo,3,192,2,44,56,,ayudar,True,2026-08-17 17:21:00+00:00
02f8c359-c3c6-4ff3-bd93-2986f189f8e1,9096837f-2c40-4ce5-b071-8de36c839476,Calle Vacía,1,580,3,12,54,colapso,,True,2026-07-07 00:31:00+00:00
b4eb7a43-4950-4950-a4f8-ee449eb83cec,8caa91ce-762c-47d0-9e96-4483fa3f5890,Hospital,3,266,1,6,46,caidas,,True,2024-12-29 02:13:00+00:00
7d4882ff-a934-4ae0-90b1-fb9a3a15a730,f6dff08a-5560-42bd-b839-670d20b9e001,Hospital,3,132,3,40,33,,,True,2025-04-04 10:30:00+00:00
e9f68732-5141-4aba-98a9-8ffb5ab6fb25,b706bfba-98ea-462e-9810-366d38d5b986,Recuerdo,6,396,4,54,51,,,True,2025-05-27 03:24:00+00:00
ca6c8aff-3eeb-410b-b00e-90e0f85488a0,0ea52491-3343-4415-8ee8-e2cfb2352b80,Calle Vacía,1,90,5,4,93,caidas,,True,2026-08-02 21:26:00+00:00
7e3d5568-0e43-4095-8a7e-2403f2b3f802,c06c7b4f-fe1c-4f5a-b7ea-478432626cda,Habitación,2,312,2,3,90,caidas,,True,2026-02-03 20:09:00+00:00
52d508a8-e450-4a65-b1ad-20bdeeef0fe7,a8c39533-1772-4c55-915e-d7d6d81acfb8,Calle Vacía,1,447,1,100,20,,,True,2026-02-03 01:13:00+00:00
adf6c83e-e7e1-450c-9f3c-9eef8dc4bfb4,e94f5ec6-86ac-4608-a4e9-a547dd395627,Refugio,5,143,3,15,9,sobredosis,,True,2026-08-03 23:20:00+00:00
ff010c63-d755-4089-962c-983a60d8da27,25c6dbfe-5cc6-4577-99ee-9b3054d6f81f,Habitación,2,62,1,59,80,,,True,2025-07-26 22:10:00+00:00
fa33b9a2-d767-4c85-aa01-85739d45a1f4,f9fd454e-3796-42b4-b3ee-75ea95902b0e,Calle Vacía,1,311,0,45,57,,,True,2026-03-25 21:44:00+00:00
31995acc-cf66-43d5-940a-f6bea379df53,54221cf1-5e39-4726-adfa-325a2a4452e8,Habitación,2,516,4,99,29,,,True,2026-01-11 23:16:00+00:00
bce9bff2-66c1-47ba-a9c1-ff16bb17b2ae,5819760a-977c-484a-ba45-55f995529c74,Calle Vacía,1,93,4,22,81,caidas,,True,2026-01-09 01:27:00+00:00
9cc96619-b7d7-488a-9ac4-40ad237802b1,e876692a-3207-4160-89c9-f0639844a9d3,Calle Vacía,1,598,5,69,23,,,True,2026-08-03 01:16:00+00:00
9e310d0c-9acb-48b9-ad92-a84ee742bf1b,076afd51-c7c5-418f-82a4-27e26a5ff85a,Calle Vacía,1,512,0,20,59,caidas,,True,2026-07-06 20:07:00+00:00
c311291c-356c-4851-bd9e-e56eda46ec2a,0ba00a8a-9eb6-452c-907e-c9895dbb0f65,Calle Vacía,1,359,2,7,88,sobredosis,,True,2025-04-12 22:59:00+00:00
1f03fa11-4a09-49e0-a3a9-e0e21aef7914,392f953b-7b46-4b0e-80df-9a84ddb5db21,Recuerdo,6,67,5,41,19,,,True,2025-03-04 23:07:00+00:00
5b040b82-0789-48c9-8b57-f0716805924a,d8dc1a14-41c6-47be-98a3-d2be7d46ca31,Refugio,5,270,4,95,8,,,True,2026-03-21 00:04:00+00:00
