id,user_id,map_name,map_number,duration_seconds,consumptions,max_health_end,damage_received,death_type,decision,completed,played_at
1e9d10f3-b32f-415c-ac41-22078acd7c3f,8ecfe4f1-d635-42f7-828b-db475a898c4d,Habitación,2,484,4,25,80,enemigos,,true,2025-11-01T23:07:00+00:00
b1efb127-4d32-4e91-a20b-f9f107f2c050,8ecfe4f1-d635-42f7-828b-db475a898c4d,Habitación,2,327,1,94,90,,,true,2025-11-02T02:03:58.601828+00:00
7d94a228-05e1-41fe-99c5-6f64587a3c6e,8ecfe4f1-d635-42f7-828b-db475a898c4d,Calle Vacía,1,550,1,9,95,enemigos,,true,2025-11-03T13:53:45.832407+00:00
9f8c0384-fc54-4d55-8bd3-927139fcae6a,2f59f2e4-b5dc-4ea8-9c35-c09b0ef7fe64,Habitación,2,552,5,0,29,sobredosis,,true,2026-07-05T16:49:00+00:00
d0e169ee-f5fd-4237-9904-aca89c3ea366,2f59f2e4-b5dc-4ea8-9c35-c09b0ef7fe64,Habitación,2,193,0,20,51,sobredosis,,true,2026-07-06T01:08:36.714628+00:00
c6c2e08c-4a3f-4105-9959-bdad755ab9ce,2f59f2e4-b5dc-4ea8-9c35-c09b0ef7fe64,Habitación,2,552,1,4,54,colapso,,true,2026-07-07T09:49:51.460838+00:00
ec07fd39-78c9-46c1-9f89-f17ff3618d6f,2f59f2e4-b5dc-4ea8-9c35-c09b0ef7fe64,Calle Vacía,1,353,2,18,5,abstinencia,,true,2026-07-12T04:26:32.808353+00:00
f1d0f65f-4edf-4255-921e-0ce5696cf65c,2f59f2e4-b5dc-4ea8-9c35-c09b0ef7fe64,Habitación,2,353,1,25,98,abstinencia,,true,2026-07-12T09:23:09.961454+00:00
2f866124-bc79-4fef-b74d-737c0f90b7f0,a5049d09-4999-4577-bc1d-b67d725fe1bc,Habitación,2,473,4,7,39,sobredosis,,true,2026-03-08T11:02:00+00:00
dd80ef8b-b2c3-44a7-8415-dbbc55215304,a5049d09-4999-4577-bc1d-b67d725fe1bc,Calle Vacía,1,501,2,68,25,,,true,2026-03-10T18:11:37.493442+00:00
c18c1225-cf95-4def-97a7-c07de9bcb91a,328908af-4a71-49a6-8c6b-7804c10209a2,Mapa 1 - Neón City,1,534,3,0,168,,,true,2025-06-02T19:12:00+00:00
ea4a1145-c304-4944-99dc-06c6560a07d0,328908af-4a71-49a6-8c6b-7804c10209a2,Mapa 1 - Neón City,1,463,3,0,215,sobredosis,,true,2025-06-02T19:19:00+00:00
81ef78f0-5573-4e21-af24-be9a3da2ae9a,328908af-4a71-49a6-8c6b-7804c10209a2,Mapa 1 - Neón City,1,404,2,10,95,enemigos,,true,2025-06-02T19:21:00+00:00
5a0953f5-7809-4829-88d1-e0ea6b255443,328908af-4a71-49a6-8c6b-7804c10209a2,Mapa 2 - Subterráneo,2,624,4,0,173,abstinencia,,true,2025-06-02T19:26:00+00:00
b0537e5f-f3ad-48d4-ac69-c2ed9bfcab5b,328908af-4a71-49a6-8c6b-7804c10209a2,Mapa 2 - Subterráneo,2,538,4,0,129,abstinencia,,true,2025-06-04T11:54:00+00:00
aa493153-b56e-4f25-afd8-1ee14ebb4059,328908af-4a71-49a6-8c6b-7804c10209a2,Mapa 2 - Subterráneo,2,487,5,0,137,caidas,,true,2025-06-04T12:00:00+00:00
a287fafa-8143-4d5b-889e-182d10642050,328908af-4a71-49a6-8c6b-7804c10209a2,Mapa 2 - Subterráneo,2,431,6,0,145,colapso,,true,2025-06-04T12:03:00+00:00
e5345cea-e5ef-40fc-a5c0-d58bbb4af7d8,328908af-4a71-49a6-8c6b-7804c10209a2,Mapa 2 - Subterráneo,2,378,5,14,93,abstinencia,,true,2025-06-04T12:10:00+00:00
99bb1ac9-07e0-465a-a2af-cce01a6a966c,328908af-4a71-49a6-8c6b-7804c10209a2,Mapa 2 - Subterráneo,2,344,6,0,205,caidas,,true,2025-06-06T10:45:00+00:00
9cf34190-ff10-4458-8ee5-23ee220760fd,328908af-4a71-49a6-8c6b-7804c10209a2,Mapa 2 - Subterráneo,2,300,2,45,60,,,true,2025-06-06T10:54:00+00:00
b9a1dc2c-ac66-4f8e-8959-8cab28defb9d,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 1 - Neón City,1,199,2,0,243,sobredosis,,true,2026-08-17T16:48:00+00:00
8028cdf0-8b59-4774-bf78-0de3e75b040f,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 1 - Neón City,1,174,0,10,117,abstinencia,,true,2026-08-17T16:50:00+00:00
4bd78382-43fe-4802-a8b7-0870494c5c42,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 2 - Subterráneo,2,260,2,0,190,colapso,,true,2026-08-17T16:59:00+00:00
072b202a-3e13-4525-8c75-57d766e8b12c,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 2 - Subterráneo,2,230,0,49,48,,ignorar,true,2026-08-17T17:06:00+00:00
59d18d7f-6e18-4ead-950c-0febf49bf037,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 3 - Abismo,3,253,4,0,172,abstinencia,,true,2026-08-17T17:11:00+00:00
a981e78e-1698-4ead-88eb-ccb0711ace17,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 3 - Abismo,3,223,3,0,155,enemigos,,true,2026-08-17T17:15:00+00:00
812eea3e-0704-485e-bb9a-a0fc86ec721e,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 3 - Abismo,3,205,5,0,160,enemigos,,true,2026-08-17T17:18:00+00:00
e5df22e5-a781-464f-92be-e23f9753709c,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 3 - Abismo,3,192,2,44,56,,ayudar,true,2026-08-17T17:21:00+00:00
0cf43cbb-946e-4e36-afee-19e3c000197d,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 4 - Colapso,4,265,3,0,198,sobredosis,,true,2026-08-16T23:45:45.343005+00:00
145046f9-ed64-41c3-a416-9fc7ce14bf68,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 4 - Colapso,4,258,5,0,145,,,true,2026-08-16T23:54:45.343005+00:00
555faa36-a91c-4893-994a-ef2fd1aa6c15,f89ba5fb-fb3f-401d-ab03-6b22550523bc,Mapa 4 - Colapso,4,215,2,51,55,,ayudar,true,2026-08-16T23:59:45.343005+00:00
7c5bf792-52c7-4a85-b74e-430f66cafc1e,a5049d09-4999-4577-bc1d-b67d725fe1bc,Habitación,2,303,5,47,21,,,true,2026-03-18T08:03:12.419003+00:00
4c783843-04a7-4e2f-94af-0dfda2cb89f8,a5049d09-4999-4577-bc1d-b67d725fe1bc,Calle Vacía,1,542,4,45,14,,,true,2026-03-18T22:11:01.65035+00:00
dfa11e37-fac4-452f-a5dc-0be90dd1e2a6,a5049d09-4999-4577-bc1d-b67d725fe1bc,Recuerdo,6,595,5,1,62,colapso,,true,2026-03-26T13:05:54.231472+00:00
